Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Local primera parte,Goles Visitante,Goles Visitante primera parte
2020-21,2021-01-06,Ath Bilbao,5,5,7,9,2.0,2.0,Barcelona,9,4,11,5,6.0,2.0,A,2.0,1.0,3.0,2.0
2020-21,2021-01-08,Celta,9,4,10,8,7.0,2.0,Villarreal,7,6,8,5,4.0,2.0,A,0.0,0.0,4.0,4.0
2020-21,2021-01-09,Sevilla,6,2,11,6,2.0,0.0,Sociedad,4,7,4,5,3.0,4.0,H,3.0,2.0,2.0,2.0
2020-21,2021-01-09,Granada,5,5,9,7,4.0,1.0,Barcelona,10,5,11,4,6.0,2.0,A,0.0,0.0,4.0,3.0
2020-21,2021-01-09,Osasuna,7,10,3,19,4.0,3.0,Real Madrid,11,3,13,2,5.0,1.0,D,0.0,0.0,0.0,0.0
2020-21,2021-01-10,Levante,8,8,7,15,4.0,4.0,Eibar,6,7,5,12,2.0,5.0,H,2.0,0.0,1.0,0.0
2020-21,2021-01-10,Cadiz,1,8,2,10,0.0,5.0,Alaves,4,7,4,13,2.0,3.0,H,3.0,1.0,1.0,1.0
2020-21,2021-01-10,Valladolid,5,6,8,14,2.0,5.0,Valencia,6,8,3,17,3.0,2.0,A,0.0,0.0,1.0,0.0
2020-21,2021-01-11,Elche,4,8,2,18,0.0,5.0,Getafe,3,4,4,17,2.0,3.0,A,1.0,1.0,3.0,1.0
2020-21,2021-01-11,Huesca,3,6,4,20,1.0,2.0,Betis,6,8,5,12,1.0,6.0,A,0.0,0.0,2.0,0.0
